SAT Math,SAT Verbal,GPA,Credits earned,Family income,Days drinking (last 30 days),Income
3,3,357,72,36000,3,18000
3,4,187,62,32000,5,32000
3,4,250,124,38350,10,34000
3,4,262,170,30250,4,30000
3,3,231,149,25000,5,25000
3,3,246,35,88000,2,3000
3,4,336,41,44000,20,12000
1,2,271,39,10504,4,10000
2,3,152,42,50005,0,50000
4,5,400,3,69000,20,44000
3,5,210,100,34868,20,12018
4,5,400,6,38000,3,20000
3,3,290,157,11000,1,11000
4,3,211,24,44000,15,24000
5,5,329,141,53500,2,36000
4,4,330,111,111250,1,12500
3,4,67,3,50000,10,50000
4,5,323,73,17750,1,7500
3,3,30,9,55250,5,30000
2,3,0,0,59500,2,22000
4,4,275,23,42750,1,25000
6,5,400,12,50000,5,10000
4,4,371,131,55250,4,55000
3,3,278,140,104100,4,44000
4,4,286,127,83000,0,41000
4,6,200,6,279104,5,10000
3,3,375,12,132000,1,37000
6,3,96,15,24000,20,24000
3,5,242,137,50000,3,50000
4,4,374,120,75000,2,50000
3,3,126,21,95250,4,35000
5,5,368,120,4000,2,2500
4,5,344,156,9250,5,7500
3,5,248,109,80252,3,5000
5,4,252,121,75751,0,40000
4,4,333,120,23250,5,1500
5,5,367,63,20950,6,20000
4,4,380,197,100550,4,51000
5,5,343,90,147000,26,36000
5,5,314,35,54250,29,48000
5,5,388,171,3800,6,3800
5,4,302,177,4000,3,4000
6,4,380,32,21750,2,10000
6,4,375,33,35950,0,20000
4,6,331,32,24000,6,24000
5,5,317,32,95000,4,0
4,5,293,127,78000,4,33000
3,3,220,25,85000,2,5000
4,3,369,150,5250,2,5000
2,3,300,192,52000,8,0
4,4,96,113,26753,0,21500
2,6,360,25,73217,15,26000
4,3,332,102,123750,18,25000
2,4,352,131,79000,15,8000
5,5,346,76,103210,0,112215
2,3,379,63,85000,8,23000
3,3,323,134,136000,15,39000
3,3,250,30,67500,1,30000
2,2,342,7,31500,4,24000
4,3,321,135,139500,2,27000
3,4,189,18,112500,5,20000
2,3,276,30,156250,5,42000
2,2,197,137,40250,4,15000
4,4,261,121,79020,7,112215
3,3,225,9,279104,8,70000
6,5,384,151,84000,1,42000
2,2,277,129,190000,2,40000
2,1,139,13,138500,0,26000
4,3,309,76,88000,3,23000
3,3,366,50,24000,1,24000
6,3,340,15,40500,15,38000
2,3,258,30,80500,6,43000
4,4,197,26,40000,5,40000
3,3,88,3,119000,20,19000
3,3,223,28,85000,0,17000
2,3,367,24,40250,15,40000
3,5,320,155,135000,2,35000
2,1,123,10,22756,2,4000
6,2,0,0,31104,15,12171
4,4,292,124,30000,15,30000
3,3,172,26,50000,5,50000
4,4,266,128,56290,3,56000
2,3,265,133,86000,2,36000
2,2,249,120,30000,5,16000
5,4,400,2,19500,1,17000
1,2,196,44,279104,1,11000
2,2,148,25,43500,30,24000
2,3,318,76,58250,0,29000
3,4,100,56,90000,4,10000
5,6,216,54,90250,5,10000
6,3,205,36,44057,2,44000
3,2,350,36,117000,1,35000
4,5,307,80,80500,7,43000
4,2,136,30,64250,3,31000
6,4,297,141,42500,3,25000
3,3,217,70,35000,14,5000
3,4,180,23,15000,5,15000
2,2,241,109,33000,3,14000
4,3,272,23,279104,25,112215
5,3,353,9,17500,25,17500
3,4,355,186,95000,2,20000
6,4,347,144,48750,4,48000
4,3,280,125,20500,0,20000
4,5,0,0,79000,1,24000
5,5,383,31,61750,20,12000
4,5,315,74,39250,28,39000
2,2,346,92,195750,20,12000
5,5,0,0,36000,20,6000
3,4,271,129,102250,1,27000
3,3,323,71,52500,0,50000
4,5,281,155,56250,2,45000
3,3,100,10,112500,3,20000
1,1,79,5,60200,2,60000
3,4,213,111,40000,5,40000
2,1,321,44,27000,1,27000
3,3,281,120,77250,1,7500
3,3,289,157,21250,5,12000
3,3,136,10,38000,10,38000
5,4,241,153,36250,1,32000
2,2,133,6,21250,0,18000
3,3,125,15,31000,30,31000
1,1,335,17,97000,1,47000
3,3,0,44,28000,1,28000
4,3,307,43,26813,23,21000
3,2,264,21,182500,0,34000
3,3,291,159,155000,5,20000
3,2,257,125,43250,0,43000
3,4,306,186,81280,8,28000
4,3,303,131,28750,4,28000
3,4,67,3,38000,3,38000
2,3,91,7,108000,0,8000
4,3,372,176,21350,3,21000
4,3,168,17,21750,10,18000
2,3,0,0,26994,4,18500
4,4,269,33,155000,2,40000
2,2,0,0,72000,4,60000
4,4,244,9,39285,5,39285
5,5,200,4,98270,6,49000
4,4,291,12,43000,4,38000
4,4,292,125,48500,3,38000
3,3,281,91,100000,3,10000
2,4,292,142,30600,0,30000
5,5,273,22,20000,15,20000
2,3,250,12,63300,1,28000
5,4,340,15,26500,8,13000
4,2,75,9,20000,4,8000
4,4,263,138,23500,8,13000
3,3,274,124,78000,3,32000
6,4,352,172,30250,4,30000
4,6,0,0,18000,2,18000
4,6,260,124,101750,0,32000
4,5,273,133,26000,2,26000
3,3,337,32,68250,4,26000
3,3,216,56,71000,1,33000
3,2,140,6,4800,1,4800
5,3,306,24,76000,6,1000
3,2,275,12,3000,20,3000
3,3,315,133,97740,15,35000
3,3,124,37,40000,3,22500
4,3,238,176,71250,5,24000
4,4,352,141,63000,4,63000
3,3,219,65,125750,0,26000
3,2,200,4,25000,10,25000
3,3,214,14,58250,5,10000
3,3,222,68,67265,17,16000
2,2,239,38,45500,3,28000
4,3,338,137,44750,10,27000
5,4,365,138,50015,8,50000
2,5,140,28,13500,15,6000
4,5,131,16,32000,10,12000
4,4,330,145,102000,0,55000
3,4,338,129,178250,5,1500
4,4,350,6,67006,3,15000
4,3,242,124,279104,5,55000
4,4,178,44,168250,0,18000
2,3,150,32,52400,4,40000
3,3,382,123,10750,1,6000
4,4,277,121,46650,1,39000
4,4,378,128,60200,3,42000
3,2,198,89,120000,15,45000
4,4,221,139,158000,2,38000
4,6,351,113,126500,3,32000
